time,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close,source,conflict,unadj_prev_close,badj_prev_close,badj_close_delta,badj_open_gap_delta,continuous_return,continuous_gap_return,unadj_raw_return,estimated_roll_effect_return,mnq_point_pnl_per_contract,nq_point_pnl_per_contract
2007-08-23,5465.75,5481.0,5448.5,5460.5,1944.75,1960.0,1927.5,1939.5,long_file_only,False,1945.0,5466.0,-5.5,-0.25,-0.002827763496143959,-0.00012853470437017994,-0.002827763496143998,-3.903127820947816e-17,-11.0,-110.0
2007-08-24,5460.25,5491.0,5451.0,5490.5,1939.25,1970.0,1930.0,1969.5,long_file_only,False,1939.5,5460.5,30.0,-0.25,0.015467904098994586,-0.0001288992008249549,0.015467904098994678,9.194034422677078e-17,60.0,600.0
2007-08-27,5490.5,5490.5,5469.25,5471.5,1969.5,1969.5,1948.25,1950.5,long_file_only,False,1969.5,5490.5,-19.0,0.0,-0.009647118558009647,0.0,-0.009647118558009593,5.377642775528102e-17,-38.0,-380.0
2007-08-28,5472.5,5473.75,5426.5,5428.75,1951.5,1952.75,1905.5,1907.75,long_file_only,False,1950.5,5471.5,-42.75,1.0,-0.02191745706229172,0.0005126890540886952,-0.021917457062291756,-3.469446951953614e-17,-85.5,-855.0
2007-08-29,5430.75,5483.0,5427.0,5482.0,1909.75,1962.0,1906.0,1961.0,long_file_only,False,1907.75,5428.75,53.25,2.0,0.027912462324728084,0.00104835539247805,0.027912462324727993,-9.020562075079397e-17,106.5,1065.0
2007-08-30,5482.25,5508.0,5467.75,5495.75,1961.25,1987.0,1946.75,1974.75,long_file_only,False,1961.0,5482.0,13.75,0.25,0.007011728709841917,0.00012748597654258032,0.007011728709841902,-1.474514954580286e-17,27.5,275.0
2007-08-31,5494.0,5521.75,5494.0,5515.75,1973.0,2000.75,1973.0,1994.75,long_file_only,False,1974.75,5495.75,20.0,-1.75,0.010127864286618559,-0.0008861881250791239,0.010127864286618493,-6.591949208711867e-17,40.0,400.0
2007-09-04,5515.75,5559.5,5507.75,5545.75,1994.75,2038.5,1986.75,2024.75,long_file_only,False,1994.75,5515.75,30.0,0.0,0.015039478631407444,0.0,0.015039478631407421,-2.2551405187698492e-17,60.0,600.0
2007-09-05,5545.75,5546.5,5512.25,5524.25,2024.75,2025.5,1991.25,2003.25,long_file_only,False,2024.75,5545.75,-21.5,0.0,-0.01061859488825781,0.0,-0.010618594888257782,2.7755575615628914e-17,-43.0,-430.0
2007-09-06,5523.5,5532.0,5509.75,5524.75,2002.5,2011.0,1988.75,2003.75,long_file_only,False,2003.25,5524.25,0.5,-0.75,0.0002495944090852365,-0.00037439161362785476,0.0002495944090852298,-6.7220534694101275e-18,1.0,10.0
