date,TQQQ,Daily,Weekly,Monthly
2014-12-02,5.3104105107719315,5.423262521725947,5.566963342694098,6.229378154458108
2014-12-03,5.358554468891239,5.4421567123718395,5.586660760034595,6.2514193740111645
2014-12-04,5.3425077263030465,5.453519526525962,5.598479210438894,6.264644105742998
2014-12-05,5.346129900743915,5.453405274278086,5.5983504714778,6.264500048090289
2014-12-08,5.230687856428698,5.323494559171826,5.464986879999368,6.113517694151853
2014-12-09,5.281420059003437,5.366528255179372,5.509896674306614,6.16437178658005
2014-12-10,5.025684036312306,5.127327992101109,5.261665171919752,5.883346237278582
2014-12-11,5.1043736932587835,5.161898336973331,5.298656533059755,5.925224554429389
2014-12-12,4.935607160695776,4.990862284568962,5.116429074822187,5.718911659445848
2014-12-15,4.787549381542255,4.897338493482898,5.020552287081557,5.603685883455086
2014-12-16,4.549932002627816,4.625639858359619,4.738443415788103,5.264251102338019
2014-12-17,4.794278941471532,4.884775379721222,5.017804473400127,5.600379700522127
2014-12-18,5.145784671956984,5.250218331014691,5.397827626329097,6.057558626449203
2014-12-19,5.2032489213641515,5.322375939990823,5.469350852291472,6.143682519559119
2014-12-22,5.251247084786175,5.355930116718335,5.503831611852939,6.183356714754621
2014-12-23,5.201022521317335,5.304451787991212,5.451152673634032,6.122743360983716
2014-12-24,5.211896816212291,5.322004219595759,5.469228829426558,6.1435192757710215
2014-12-26,5.317519945157677,5.424632711221861,5.574692537977696,6.264890596228935
2014-12-29,5.318556362046268,5.427464431794971,5.577602591503698,6.268196779161894
2014-12-30,5.208789119860991,5.320765844322314,5.467990575357626,6.143663888687126
2014-12-31,5.045690550444253,5.135194874613801,5.2747930704177985,5.92415698866634
2015-01-02,5.004269313270553,5.067087587886643,5.204834314646064,5.845585820775824
2015-01-05,4.77903919895616,4.878459817884312,5.011078775004252,5.626008551661448
2015-01-06,4.589534691871629,4.668506219439917,4.7898892701794225,5.375358444905728
2015-01-07,4.766093002872705,4.83665096779076,4.972368778986199,5.582149348000749
2015-01-08,5.037923330174812,5.118881173005095,5.271561070075481,5.9212024530753276
2015-01-09,4.935923929984765,5.004583985729064,5.154848287792974,5.788940251095771
2015-01-12,4.78421568786702,4.882172272455563,5.028761122031924,5.645131348943396
2015-01-13,4.780072818078705,4.854049835268731,4.999310105211825,5.611540948440651
2015-01-14,4.706550635019162,4.808526703472295,4.951452202879164,5.556956547623691
2015-01-15,4.5196346832529555,4.611917060187154,4.743454396587214,5.319724344073057
2015-01-16,4.6806610406183,4.764181379855842,4.909116366200271,5.508670346900995
2015-01-20,4.784215687867021,4.878272806223943,5.02667865944019,5.647230748974817
2015-01-21,4.857738803515247,4.934342032327296,5.083564776814419,5.714235066416714
2015-01-22,5.12801699238762,5.2237470682962135,5.374867835009112,6.057610901562176
2015-01-23,5.162187974284597,5.2328145620181425,5.383706152841351,6.067985476253447
2015-01-26,5.150798268711392,5.241092391475284,5.392222678862368,6.0774327763948435
2015-01-27,4.752113498529603,4.903185105475736,5.044937673338679,5.6921928706289915
2015-01-28,4.6703068193450035,4.714963913612434,4.842639801925133,5.467771141057432
2015-01-29,4.805445758349743,4.925889740626192,5.075424846499595,5.725997344922281
2015-01-30,4.695159685994381,4.7687837786424145,4.90698688741726,5.539150742125765
2015-02-02,4.818389467530046,4.921649712023587,5.064282995912193,5.716711203584792
2015-02-03,4.949903745190764,5.030893521706183,5.174381180231746,5.840993263710969
2015-02-04,4.936957859970205,4.986280822449767,5.130051916443705,5.790953090373832
2015-02-05,5.067955483501099,5.141064278046745,5.284681989201435,5.965504052486096
2015-02-06,4.975791163551369,5.068441827974278,5.213587702876042,5.885250736572411
2015-02-09,4.92090800875307,5.020013684039101,5.163772713523692,5.831187326821009
2015-02-10,5.156495142106807,5.241488391666995,5.393061523596072,6.0799031449524445
2015-02-11,5.214484128079041,5.316058154152669,5.468066920164528,6.161216517986075
2015-02-12,5.396740245064213,5.495157285495297,5.646580656413211,6.354827642627839
2015-02-13,5.532916222683331,5.618387677256504,5.766783746545894,6.485232067117302
2015-02-17,5.547930900463449,5.636679206706105,5.785558402334854,6.5042922296468015
2015-02-18,5.571747971950024,5.653080795086433,5.8023567785670815,6.52134605927846
2015-02-19,5.655626863186017,5.758447725090609,5.910064014409011,6.630691202210855
2015-02-20,5.764358621071387,5.854430625543511,6.006967267194228,6.728971205780431
2015-02-23,5.787142384298312,5.881057407185855,6.0342878071385275,6.756091082496969
2015-02-24,5.799049054864235,5.902976362188094,6.05670597958351,6.7781228869450025
2015-02-25,5.75244946360231,5.850154084887315,6.0028098701466215,6.724984670661892
2015-02-26,5.8399555030854735,5.948133093635172,6.103387245176725,6.824253206711711
2015-02-27,5.762804928327182,5.872046098454083,6.026146322693317,6.748045703641334
2015-03-02,5.918136899200267,6.007928491310865,6.165594679927474,6.904199211625392
2015-03-03,5.833220969349896,5.926308431699482,6.083105579548042,6.811828368037267
2015-03-04,5.768503045174174,5.877437830360997,6.033255072545458,6.756006042858017
2015-03-05,5.793871944227588,5.898266911944658,6.054619575546566,6.779929896506267
2015-03-06,5.594530491725375,5.720420444822548,5.872628026015755,6.5761367543972415
2015-03-09,5.648376918772189,5.754418970895706,5.90753117675202,6.615886630196855
2015-03-10,5.335644495329358,5.43270086031034,5.578570685169866,6.241079589707604
2015-03-11,5.241927415224108,5.343331755248958,5.4835820933756265,6.132852632727425
2015-03-12,5.342374676984423,5.429020833956835,5.575714574388095,6.237843082920118
2015-03-13,5.273511085254337,5.34710451382611,5.488568034491826,6.1385334530670805
2015-03-16,5.475442025663558,5.5360448473868935,5.682506992020432,6.369797371666832
2015-03-17,5.5059905222567735,5.603665993876938,5.750337858939304,6.450682781620439
2015-03-18,5.664428013440899,5.795027886014253,5.940455359176705,6.677389775715762
2015-03-19,5.691870989723071,5.80191073119305,5.947142909436312,6.685364393598512
2015-03-20,5.809923038896299,5.901298957761994,6.043634706039215,6.800426737335334
2015-03-23,5.761252479034558,5.8586000888908325,5.99990596637268,6.75154208859663
2015-03-24,5.702744352029344,5.828794278010852,5.969226855603406,6.717257508967258
2015-03-25,5.3051065680745415,5.411432702573018,5.5382654272656096,6.235544282278059
2015-03-26,5.26160938849472,5.3635577630857005,5.486285208589798,6.177443494846594
2015-03-27,5.31235651248837,5.419548043045999,5.547438407031929,6.245797362413023
2015-03-30,5.503433985816533,5.594404321912787,5.726420940149419,6.457844341159151
2015-03-31,5.333068685389691,5.431020857954985,5.562694704892985,6.263817888729972
2015-04-01,5.242967562467428,5.367280364850987,5.497528246609074,6.1903033780360035
2015-04-02,5.2517705778996735,5.346632681993191,5.476245263985631,6.166290984964919
2015-04-06,5.378119557713716,5.476970236490675,5.609742449595589,6.318202493988281
2015-04-07,5.3532629607096105,5.446588992413182,5.5791320564804465,6.283359731708982
2015-04-08,5.4806489791380315,5.600222011407762,5.734560922583469,6.460228131500468
2015-04-09,5.582661746432521,5.693436686312677,5.827113990158796,6.565557810931067
2015-04-10,5.649461208546456,5.753616218258699,5.886234172357491,6.6328329077842705
2015-04-13,5.607517099985052,5.70777902086242,5.839340450662453,6.58191087933805
2015-04-14,5.5593594638984065,5.687261772020246,5.818232006387151,6.559043726851672
2015-04-15,5.657745082945724,5.7794883414085145,5.913324559344079,6.662191074159699
2015-04-16,5.638065596578267,5.754882171738829,5.888226903649459,6.634995226420345
2015-04-17,5.3744961398212725,5.494987634520222,5.622370107720676,6.346476259514355
2015-04-20,5.614763314044154,5.71673293915538,5.849255817977052,6.600385496024832
2015-04-21,5.686744860601043,5.799335166328414,5.931610521804407,6.692557507968689
2015-04-22,5.778915708671547,5.864241663211323,5.995655082721104,6.764221841729785
2015-04-23,5.848305280418276,6.0077063234383585,6.136246655315866,6.921558761789695
2015-04-24,6.077179951301907,6.199741117777875,6.321439692320002,7.128809463385854
2015-04-27,6.038345093406273,6.182208944502707,6.303563369110881,7.110367086545257
2015-04-28,5.998992337929237,6.146343319928268,6.266926444250606,7.072389209289416
2015-04-29,5.884550650406905,5.998332948794034,6.115144898400896,6.915052289229505
2015-04-30,5.608031888937515,5.711119953087506,5.815768883828364,6.604718777938922
2015-05-01,5.834841808479209,5.941465959796094,6.063971066333936,6.871106213052938
2015-05-04,5.855552737928953,5.97729023870573,6.100533994111404,6.9114942635288905
2015-05-05,5.5780000464741235,5.700891471943285,5.819577805709832,6.601353779882691
2015-05-06,5.4589003893481225,5.567019148098446,5.679099711509045,6.446283538059592
2015-05-07,5.5526255518886165,5.678813589903859,5.7983304471112795,6.577872203545058
2015-05-08,5.756131323718833,5.8586855052487365,5.987569652667066,6.786795764489519
2015-05-11,5.692956522948918,5.7886600277237426,5.916003697510992,6.707109520768715
2015-05-12,5.61942625745413,5.748391225345625,5.874507673477405,6.660934492576227
2015-05-13,5.648423548206292,5.760094108573156,5.886620767464256,6.67441886143041
2015-05-14,5.8985332633789485,6.01893785903157,6.1541849582560575,6.97225432954439
