date,continuous_return,estimated_roll_effect_return,badj_close_delta,unadj_close,TQQQ_adjclose,BIL_adjclose,TQQQ,"MNQ 3x, no cash",MNQ 3x + 55% BIL,MNQ 3x + 70% BIL,BIL
2015-06-08,-0.0109896240098181,-3.642919299551295e-17,-49.25,4432.25,2.170418262481689,73.64602661132812,-0.03059855685448354,-0.032968872029454296,-0.03308901134320762,-0.033121776610594886,-0.00021843511591512765
2015-06-09,-0.0001692142816853,3.903127820947816e-18,-0.75,4431.5,2.1596949100494385,73.64602661132812,-0.004940684759991543,-0.0005076428450559,-0.0005076428450559,-0.0005076428450559,0.0
2015-06-10,0.0129188762270111,-1.3877787807814457e-17,57.25,4488.75,2.2452809810638428,73.66211700439453,0.0396287784057634,0.0387566286810333,0.03887679424316509,0.038909566669201034,0.00021848284023961995
2015-06-11,0.0003898635477582,9.990923019453923e-17,1.75,4490.5,2.2575931549072266,73.67823791503906,0.005483578201223693,0.0011695906432746001,0.0012899578172720712,0.0013227852283622904,0.00021884940726812907
2015-06-12,-0.0079612515310099,5.204170427930421e-18,-35.75,4454.75,2.200204610824585,73.66211700439453,-0.02542023302909946,-0.023883754593029702,-0.024004095430506238,-0.024036915658908926,-0.0002188015226846085
2015-06-15,-0.0043212301475952,4.076600168545497e-17,-19.25,4435.5,2.169823169708252,73.67823791503906,-0.013808461707089492,-0.0129636904427856,-0.01284332326878813,-0.012810495857697909,0.00021884940726812907
2015-06-16,0.0053545259835418,-0.0016909029421711,23.75,4451.75,2.2029852867126465,73.64602661132812,0.015283326985974455,0.0160635779506254,0.01582312408606036,0.015757545759360808,-0.0004371888446637051
2015-06-17,0.0005615769079575,-1.0527603094834247e-16,2.5,4454.25,2.221452474594116,73.67823791503906,0.008382801280087948,0.0016847307238725,0.0019252897581638101,0.0019908967675159855,0.00043738006234783633
2015-06-18,0.0171746085199528,4.163336342344337e-17,76.5,4530.75,2.3153786659240723,73.64602661132812,0.042281431812813075,0.051523825559858405,0.051283371695293366,0.05121779336859381,-0.0004371888446637051
2015-06-19,-0.0068421343044749,-2.4286128663675302e-17,-31.0,4499.75,2.280031442642212,73.64602661132812,-0.015266281840665252,-0.0205264029134247,-0.0205264029134247,-0.0205264029134247,0.0
