date,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close
2008-05-14,5476.25,5502.75,5465.75,5466.5,2006.25,2032.75,1995.75,1996.5
2008-05-15,5466.5,5507.25,5464.25,5505.75,1996.5,2037.25,1994.25,2035.75
2008-05-16,5505.0,5511.5,5482.75,5505.5,2035.0,2041.5,2012.75,2035.5
2008-05-19,5505.5,5524.25,5478.25,5495.75,2035.5,2054.25,2008.25,2025.75
2008-05-20,5494.75,5496.0,5460.25,5479.5,2024.75,2026.0,1990.25,2009.5
2008-05-21,5478.75,5489.25,5424.0,5434.5,2008.75,2019.25,1954.0,1964.5
2008-05-22,5436.75,5451.5,5427.5,5436.5,1966.75,1981.5,1957.5,1966.5
2008-05-23,5436.0,5439.5,5415.75,5428.25,1966.0,1969.5,1945.75,1958.25
2008-05-26,5430.25,5438.0,5424.0,5433.25,1960.25,1968.0,1954.0,1963.25
2008-05-27,5430.25,5468.5,5424.0,5463.0,1960.25,1998.5,1954.0,1993.0
2008-05-28,5463.75,5478.75,5453.25,5475.0,1993.75,2008.75,1983.25,2005.0
2008-05-29,5472.5,5503.0,5469.75,5493.0,2002.5,2033.0,1999.75,2023.0
2008-05-30,5495.75,5513.75,5493.5,5505.25,2025.75,2043.75,2023.5,2035.25
2008-06-02,5507.0,5508.5,5461.0,5481.25,2037.0,2038.5,1991.0,2011.25
2008-06-03,5481.75,5499.25,5448.75,5468.25,2011.75,2029.25,1978.75,1998.25
2008-06-04,5469.0,5508.0,5456.0,5490.75,1999.0,2038.0,1986.0,2020.75
2008-06-05,5489.5,5530.25,5487.25,5526.25,2019.5,2060.25,2017.25,2056.25
2008-06-06,5525.25,5532.75,5457.0,5458.75,2055.25,2062.75,1987.0,1988.75
2008-06-09,5457.5,5470.5,5419.0,5457.75,1987.5,2000.5,1949.0,1987.75
2008-06-10,5456.0,5459.5,5426.5,5443.25,1986.0,1989.5,1956.5,1973.25
2008-06-11,5442.25,5453.75,5393.75,5396.75,1972.25,1983.75,1923.75,1926.75
2008-06-12,5393.5,5426.0,5380.25,5400.0,1923.5,1956.0,1910.25,1930.0
2008-06-13,5404.5,5440.5,5389.5,5435.0,1934.5,1970.5,1919.5,1965.0
2008-06-16,5438.75,5462.5,5422.5,5450.5,1968.75,1992.5,1952.5,1980.5
2008-06-17,5449.0,5466.0,5439.75,5446.5,1988.75,2005.75,1979.5,1986.25
2008-06-18,5446.25,5450.0,5412.75,5421.75,1986.0,1989.75,1952.5,1961.5
2008-06-19,5421.25,5462.0,5403.5,5450.75,1961.0,2001.75,1943.25,1990.5
2008-06-20,5452.75,5454.25,5387.75,5401.75,1992.5,1994.0,1927.5,1941.5
2008-06-23,5403.25,5412.25,5377.75,5378.25,1943.0,1952.0,1917.5,1918.0
2008-06-24,5379.25,5395.0,5355.25,5371.75,1919.0,1934.75,1895.0,1911.5
2008-06-25,5372.25,5421.0,5372.25,5392.5,1912.0,1960.75,1912.0,1932.25
2008-06-26,5392.25,5393.5,5322.75,5326.75,1932.0,1933.25,1862.5,1866.5
2008-06-27,5332.0,5338.0,5296.25,5326.0,1871.75,1877.75,1836.0,1865.75
2008-06-30,5327.0,5333.25,5302.5,5306.25,1866.75,1873.0,1842.25,1846.0
2008-07-01,5310.0,5332.25,5276.0,5329.25,1849.75,1872.0,1815.75,1869.0
2008-07-02,5330.0,5347.5,5280.75,5285.25,1869.75,1887.25,1820.5,1825.0
2008-07-03,5287.0,5299.25,5266.5,5282.25,1826.75,1839.0,1806.25,1822.0
2008-07-04,5282.25,5288.75,5274.0,5282.25,1822.0,1828.5,1813.75,1822.0
2008-07-07,5276.0,5314.75,5264.25,5292.5,1815.75,1854.5,1804.0,1832.25
2008-07-08,5291.5,5337.0,5271.0,5328.75,1831.25,1876.75,1810.75,1868.5
2008-07-09,5329.25,5337.75,5284.0,5291.75,1869.0,1877.5,1823.75,1831.5
2008-07-10,5292.0,5313.0,5269.75,5304.5,1831.75,1852.75,1809.5,1844.25
2008-07-11,5305.75,5320.5,5248.25,5280.75,1845.5,1860.25,1788.0,1820.5
2008-07-14,5278.0,5310.75,5257.0,5262.75,1817.75,1850.5,1796.75,1802.5
2008-07-15,5263.0,5293.75,5225.5,5259.25,1802.75,1833.5,1765.25,1799.0
2008-07-16,5263.0,5310.5,5246.0,5305.0,1802.75,1850.25,1785.75,1844.75
2008-07-17,5301.5,5328.75,5293.25,5300.0,1841.25,1868.5,1833.0,1839.75
2008-07-18,5292.75,5308.75,5279.5,5289.0,1832.5,1848.5,1819.25,1828.75
2008-07-21,5288.0,5305.25,5273.5,5287.75,1827.75,1845.0,1813.25,1827.5
2008-07-22,5282.0,5287.5,5248.0,5284.25,1821.75,1827.25,1787.75,1824.0
2008-07-23,5285.5,5330.5,5282.5,5309.25,1825.25,1870.25,1822.25,1849.0
2008-07-24,5306.5,5323.75,5271.75,5279.75,1846.25,1863.5,1811.5,1819.5
2008-07-25,5278.25,5313.75,5275.5,5300.75,1818.0,1853.5,1815.25,1840.5
2008-07-28,5305.5,5314.75,5260.25,5274.0,1845.25,1854.5,1800.0,1813.75
2008-07-29,5272.0,5315.75,5266.75,5302.25,1811.75,1855.5,1806.5,1842.0
2008-07-30,5302.5,5327.0,5288.5,5316.5,1842.25,1866.75,1828.25,1856.25
2008-07-31,5317.5,5339.0,5292.75,5314.0,1857.25,1878.75,1832.5,1853.75
2008-08-01,5314.5,5323.5,5267.0,5293.25,1854.25,1863.25,1806.75,1833.0
2008-08-04,5293.5,5297.5,5262.0,5272.25,1833.25,1837.25,1801.75,1812.0
2008-08-05,5271.75,5334.25,5270.25,5329.25,1811.5,1874.0,1810.0,1869.0
2008-08-06,5329.25,5367.0,5316.25,5356.5,1869.0,1906.75,1856.0,1896.25
2008-08-07,5356.75,5368.0,5336.75,5346.25,1896.5,1907.75,1876.5,1886.0
2008-08-08,5346.5,5392.25,5339.5,5384.0,1886.25,1932.0,1879.25,1923.75
2008-08-11,5381.25,5426.25,5379.0,5403.25,1921.0,1966.0,1918.75,1943.0
2008-08-12,5401.75,5421.25,5391.5,5405.0,1941.5,1961.0,1931.25,1944.75
2008-08-13,5405.0,5419.5,5384.0,5401.75,1944.75,1959.25,1923.75,1941.5
2008-08-14,5403.75,5433.25,5393.75,5426.0,1943.5,1973.0,1933.5,1965.75
2008-08-15,5426.25,5437.5,5412.75,5425.75,1966.0,1977.25,1952.5,1965.5
2008-08-18,5424.25,5436.25,5384.0,5403.75,1964.0,1976.0,1923.75,1943.5
2008-08-19,5403.5,5406.75,5363.25,5379.5,1943.25,1946.5,1903.0,1919.25
2008-08-20,5379.0,5396.25,5362.5,5376.25,1918.75,1936.0,1902.25,1916.0
2008-08-21,5376.0,5377.25,5348.5,5367.5,1915.75,1917.0,1888.25,1907.25
2008-08-22,5367.0,5401.5,5361.5,5389.75,1906.75,1941.25,1901.25,1929.5
2008-08-25,5390.25,5391.0,5347.25,5355.25,1930.0,1930.75,1887.0,1895.0
2008-08-26,5355.0,5364.0,5336.75,5351.75,1894.75,1903.75,1876.5,1891.5
2008-08-27,5351.75,5376.75,5342.25,5362.0,1891.5,1916.5,1882.0,1901.75
2008-08-28,5361.25,5384.25,5351.25,5365.75,1901.0,1924.0,1891.0,1905.5
2008-08-29,5365.25,5368.25,5327.75,5335.25,1905.0,1908.0,1867.5,1875.0
2008-09-02,5335.5,5375.75,5304.25,5312.0,1875.25,1915.5,1844.0,1851.75
2008-09-03,5312.0,5319.75,5282.0,5294.5,1851.75,1859.5,1821.75,1834.25
2008-09-04,5296.5,5296.5,5234.25,5236.0,1836.25,1836.25,1774.0,1775.75
2008-09-05,5235.0,5240.75,5201.5,5230.25,1774.75,1780.5,1741.25,1770.0
2008-09-08,5254.75,5275.5,5195.5,5221.0,1794.5,1815.25,1735.25,1760.75
2008-09-09,5222.75,5240.5,5181.0,5189.0,1762.5,1780.25,1720.75,1728.75
2008-09-10,5192.0,5216.0,5186.25,5197.75,1731.75,1755.75,1726.0,1737.5
2008-09-11,5197.0,5236.75,5165.5,5235.5,1736.75,1776.5,1705.25,1775.25
2008-09-12,5233.5,5240.25,5204.0,5233.5,1773.25,1780.0,1743.75,1773.25
2008-09-15,5223.5,5223.5,5166.25,5175.75,1763.25,1763.25,1706.0,1715.5
2008-09-16,5175.5,5202.75,5144.5,5187.5,1721.0,1748.25,1690.0,1733.0
2008-09-17,5188.75,5202.25,5094.25,5101.5,1734.25,1747.75,1639.75,1647.0
2008-09-18,5114.0,5167.25,5066.75,5163.0,1659.5,1712.75,1612.25,1708.5
2008-09-19,5161.0,5256.0,5158.5,5194.0,1706.5,1801.5,1704.0,1739.5
2008-09-22,5189.5,5206.5,5117.75,5124.25,1735.0,1752.0,1663.25,1669.75
2008-09-23,5124.0,5156.25,5102.25,5105.0,1669.5,1701.75,1647.75,1650.5
2008-09-24,5111.25,5136.5,5104.0,5126.5,1656.75,1682.0,1649.5,1672.0
2008-09-25,5125.5,5168.75,5119.25,5134.5,1671.0,1714.25,1664.75,1680.0
2008-09-26,5129.0,5139.0,5084.5,5129.25,1674.5,1684.5,1630.0,1674.75
2008-09-29,5135.25,5142.5,4948.5,4966.5,1680.75,1688.0,1494.0,1512.0
2008-09-30,4969.5,5060.25,4960.25,5048.75,1515.0,1605.75,1505.75,1594.25
2008-10-01,5054.25,5054.75,5006.75,5033.25,1599.75,1600.25,1552.25,1578.75
2008-10-02,5031.75,5045.25,4950.25,4965.0,1577.25,1590.75,1495.75,1510.5
2008-10-03,4964.5,5016.25,4929.25,4932.0,1510.0,1561.75,1474.75,1477.5
2008-10-06,4932.5,4934.5,4798.25,4861.0,1478.0,1480.0,1343.75,1406.5
2008-10-07,4863.5,4894.5,4786.75,4791.0,1409.0,1440.0,1332.25,1336.5
2008-10-08,4796.5,4847.75,4735.25,4774.5,1342.0,1393.25,1280.75,1320.0
2008-10-09,4783.5,4827.5,4717.0,4726.5,1329.0,1373.0,1262.5,1272.0
2008-10-10,4736.25,4780.75,4652.75,4737.0,1281.75,1326.25,1198.25,1282.5
2008-10-13,4752.0,4914.0,4752.0,4913.0,1297.5,1459.5,1297.5,1458.5
2008-10-14,4906.25,4953.5,4807.75,4820.5,1451.75,1499.0,1353.25,1366.0
