date,Daily,Weekly,Monthly
2018-12-14,13.636360559448281,14.268335119079783,17.196957626882835
2018-12-17,12.810368418583147,13.404062528148327,16.031692127883527
2018-12-18,12.777680063059215,13.368388987809693,15.983594865260667
2018-12-19,12.00022954678748,12.515467068804167,14.83363304073227
2018-12-20,11.847209972102954,12.34034241623269,14.597519206038227
2018-12-21,10.351149110442588,10.613418758930626,12.269174447249743
2018-12-24,9.495244554520532,9.735827935655458,10.80876665488288
2018-12-26,11.397677717557105,11.80368415696551,14.249907171627552
2018-12-27,11.604397192507628,12.003375482022134,14.582215531567316
2018-12-28,11.437859824717627,11.844410677207321,14.317680587141583
2018-12-31,11.65595749745685,12.070260481563556,14.667478860762388
2019-01-02,11.86438716415041,12.28609863725567,14.929759993037498
2019-01-03,10.696757160709456,11.091127126271523,13.477660479249472
2019-01-04,12.113270280336025,12.646305360662375,15.367474200542981
2019-01-07,12.466275903208732,13.014844722664892,15.801714485766674
2019-01-08,12.815999413307985,13.373064982531337,16.223796043004103
2019-01-09,13.094512496749426,13.65315489765325,16.55381865977411
2019-01-10,13.216441792869656,13.774035808390076,16.69624947332748
2019-01-11,13.141634567899638,13.700327935989574,16.609401416282743
2019-01-14,12.737712262364784,13.279233587497663,16.138684947100263
2019-01-15,13.506937743143956,14.098114479214404,17.054063468351806
2019-01-16,13.44321384470399,14.03285262446658,16.981111100434227
2019-01-17,13.768391903201424,14.366931166628058,17.354557745726602
2019-01-18,14.21555730987906,14.81910258880941,17.86001343772698
2019-01-22,13.338170036364387,13.904464370067611,16.889052159966806
2019-01-23,13.411847737978153,13.984638382086123,16.97416325587065
2019-01-24,13.470704727038708,14.048450350835552,17.041904740365545
2019-01-25,14.174511209968259,14.809285362847959,17.849591670881612
2019-01-28,13.614105355394141,14.223782970810458,17.227759582441283
2019-01-29,13.230165949691228,13.811641622225402,16.7900453749358
2019-01-30,14.416920055967429,15.11021396657673,18.16919252080625
2019-01-31,14.90716597545442,15.617213244598029,18.70765047448363
2019-02-01,14.667866590331974,15.375161976381408,18.407343275717558
2019-02-04,15.050144964264874,15.775874096517553,18.892298819670874
2019-02-05,15.508971005337598,16.248680865883212,19.4645057794819
2019-02-06,15.427641855159779,16.166526498156554,19.365079747457997
2019-02-07,14.830560193824752,15.561266768578529,18.63257367479211
2019-02-08,14.90304320107138,15.636714657307092,18.72388329603855
2019-02-11,14.886883469404335,15.619759387862656,18.703592269094898
2019-02-12,15.560256981362423,16.32679412369564,19.549728092645243
2019-02-13,15.545291998157436,16.31153438119565,19.531466168395955
2019-02-14,15.568555930597222,16.33527175841786,19.55987360611707
2019-02-15,15.86130843358363,16.633684500639937,19.916995680325368
2019-02-19,15.891622029598974,16.66547423566151,19.953519528823943
2019-02-20,15.925346689938376,16.70079616346326,19.99410158271125
2019-02-21,15.663611058834523,16.42705122299971,19.67959066508462
2019-02-22,16.022663910243587,16.806761946868505,20.11584774437317
2019-02-25,16.276964998650797,17.07350771895932,20.42021314852797
2019-02-26,16.2221430978028,17.016601954246614,20.35528186230828
2019-02-27,16.249492431113698,17.04505483660297,20.387747505418126
2019-02-28,16.117725914752295,16.908125340263016,20.231506597951995
2019-03-01,16.481949076923044,17.288682641779243,20.68869164673359
2019-03-04,16.411124603178582,17.214391558599434,20.601100118695996
2019-03-05,16.54719977131885,17.357537792043455,20.769874038573313
2019-03-06,16.17136322637682,16.96433864448203,20.306279853593843
2019-03-07,15.600007274803302,16.357326135573835,19.590592978164707
2019-03-08,15.595012608653418,16.35189020265824,19.584183841966833
2019-03-11,16.513834997379718,17.315306083954788,20.76346490237544
2019-03-12,16.804248928036035,17.60851961304504,21.122376529456318
2019-03-13,17.23804558799536,18.043103950803808,21.654334833879766
2019-03-14,17.030735439246424,17.838901671615954,21.404378522162723
2019-03-15,17.56505140197623,18.36947853377927,22.053837656880507
2019-03-18,17.69063138340186,18.500809704994115,22.203384168164206
2019-03-19,17.804190780591785,18.619007759087477,22.337976028319535
2019-03-20,18.04314080936947,18.8666608248069,22.61997802102594
2019-03-21,18.95631684061497,19.80474061919865,23.688167387338083
2019-03-22,17.705267859395807,18.560846811835187,22.27174828760818
2019-03-25,17.607956463527373,18.458832997296856,22.15638383604647
2019-03-26,17.76236497335335,18.621299442672715,22.340112407052157
2019-03-27,17.45716556163782,18.302033986062014,21.979064401238652
2019-03-28,17.582123117297506,18.43427411601911,22.12861091252235
2019-03-29,17.930082708370247,18.800768190471633,22.543068386651463
2019-04-01,18.64239191940475,19.547667163243563,23.438637889479047
2019-04-02,18.79715472489691,19.705811588600884,23.628261024006317
2019-04-03,19.26963033656104,20.185960928239982,24.203984275824048
2019-04-04,19.111427364032973,20.02781650288266,24.014361141296778
2019-04-05,19.435574763284077,20.35363212620919,24.405030490744526
2019-04-08,19.58317701762601,20.50820650965116,24.580945928799945
2019-04-09,19.35005924831407,20.265303907099497,24.30450738328429
2019-04-10,19.71701786705535,20.650736135941806,24.743153670383514
2019-04-11,19.5312334356563,20.458020021520653,24.5238305268339
2019-04-12,19.800461767500984,20.739064355051504,24.84367677784375
2019-04-15,19.765530050181077,20.702476767244885,24.802553688428198
2019-04-16,20.011702680991412,20.96062252565825,25.092699930415705
2019-04-17,20.09183287923876,21.043960920106656,25.18636918964002
2019-04-18,20.270156959216397,21.228931502906782,25.394269252796423
2019-04-22,20.44559073257493,21.412663260160464,25.597600083795545
2019-04-23,21.264365965053692,22.26526118988823,26.541146524274605
2019-04-24,21.343720737250404,22.345772858797144,26.630246551341635
2019-04-25,20.941881389803207,21.939085710718768,26.180177183849203
2019-04-26,21.278224358845055,22.283840805790284,26.561708068982384
2019-04-29,21.06246353023268,22.057883043721432,26.319538764646353
2019-04-30,20.951271513515728,21.940640808685707,26.193884880321054
2019-05-01,20.600740624731905,21.569729010572683,25.755641037131067
2019-05-02,20.42345712873489,21.380009757514873,25.531481829982166
2019-05-03,21.45925259161057,22.494876828854593,26.84873200232908
2019-05-06,20.955853722805468,21.967183914051837,26.22914587919841
2019-05-07,19.912559153533998,20.856025662556604,24.924488920736266
2019-05-08,19.706271890997385,20.628645788698506,24.657512786379147
2019-05-09,19.302354516834086,20.180321320431123,24.131116445995772
2019-05-10,19.41671624992484,20.309026909407404,24.282235012613008
2019-05-13,17.154908956398558,17.943276460317076,21.30519925025344
2019-05-14,17.902457024323237,18.793905851910466,22.37562243045887
2019-05-15,18.685885527038366,19.660547090875028,23.46619475287993
2019-05-16,19.214503067598073,20.228967672551555,24.18148930153485
2019-05-17,18.541385546233908,19.518441945455898,23.287371115716198
2019-05-20,17.654612896632027,18.584939946001057,22.080941225555257
2019-05-21,18.172303206145337,19.148159315191972,22.808828988094948
2019-05-22,17.923967872942384,18.88311490616095,22.46629357042921
2019-05-23,17.06274895899347,17.955459474552384,21.267419608599134
2019-05-24,17.09425588156855,17.99053888163002,21.312755178584304
2019-05-28,16.95230030166215,17.84114031187279,21.108745113651032
2019-05-29,16.399829941260492,17.25645702035375,20.31033535335663
2019-05-30,16.667440802621833,17.54603202593258,20.7057622693384
2019-05-31,15.828354244176897,16.647796180602068,19.479183236961827
2019-06-03,14.898090346108464,15.66937204816814,18.334352849060203
2019-06-04,16.083546972040097,16.968103186389918,19.85396670920869
2019-06-05,16.4145486874169,17.312914553276293,20.257422141081
2019-06-06,16.78071676874027,17.68923152728934,20.697741521043167
2019-06-07,17.72952519052321,18.650152544652894,21.82209193778376
2019-06-10,18.417725642692584,19.374088649897185,22.608522830367345
2019-06-11,18.437943357622025,19.394826402911995,22.63105079864448
2019-06-12,18.106865998758064,19.055481353578735,22.262411317745926
2019-06-13,18.466665229456297,19.428760907845323,22.667914746734336
2019-06-14,18.138952649863405,19.09318635906021,22.303371260067987
2019-06-17,18.546446922611313,19.522117634201066,22.76212261407508
2019-06-18,19.375396851428295,20.3818950562468,23.681673319205366
2019-06-19,19.591282227175622,20.600190437345272,23.915144990441117
2019-06-20,20.131174417868692,21.14209914656341,24.49472817429829
2019-06-21,19.966063952571453,20.979335046621568,24.320648419429528
2019-06-24,20.02208690180301,21.038201141863006,24.38004033579652
2019-06-25,19.015660107318954,19.9826711582234,23.315081835422912
2019-06-26,19.174565344984572,20.155209713241412,23.489161590291676
2019-06-27,19.479102559287266,20.48404790045221,23.820937123100375
2019-06-28,19.50379812523916,20.5104361500432,23.847561085609716
2019-07-01,20.23578469988258,21.280202315869357,24.74257109548394
2019-07-02,20.611796232014544,21.66608509510169,25.191238451083226
2019-07-03,21.00032592847487,22.059965444888057,25.649204611979908
2019-07-05,20.712777884065957,21.77205290494269,25.314447621273704
2019-07-08,20.313110833255795,21.351946426550178,24.84485795375528
2019-07-09,20.658780037603275,21.720059528904013,25.256330088164987
2019-07-10,21.318417958564318,22.41469103278074,26.03278033049743
2019-07-11,21.237755491119017,22.331501631118858,25.939792277523487
2019-07-12,21.56964780266137,22.67465791297413,26.32336799604101
2019-07-15,21.787105621274883,22.903256065928424,26.572111037746314
2019-07-16,21.427021990009564,22.527244150788654,26.162963604660955
2019-07-17,20.963694927369527,22.038001374839745,25.63060700138512
2019-07-18,21.346520628915556,22.44819619135586,26.076949655660055
2019-07-19,20.613982626618682,21.67267161638008,25.233083074921502
2019-07-22,21.26057211705867,22.352468526600283,25.995585109307854
2019-07-23,21.735428896732397,22.841590693709943,26.54421462185413
2019-07-24,22.17850903488091,23.291334381264164,27.048674809237784
2019-07-25,21.712892787103335,22.82501028126555,26.525617011259342
2019-07-26,22.023008961843182,23.140038117709057,26.878971612560335
2019-07-29,21.870600595325236,22.979899445614183,26.706943714558538
2019-07-30,21.55899322549339,22.650965956986877,26.353589113257545
2019-07-31,20.7752267308109,21.81564801876227,25.456254402058974
2019-08-01,20.3117504170527,21.309263569164973,24.88834864077746
2019-08-02,19.484530920670956,20.391712258783542,23.859322816916936
2019-08-05,17.078767811766664,17.873939094045557,20.78195313612651
2019-08-06,17.982397143535774,18.90844999217528,22.046392886672102
2019-08-07,18.253371327090484,19.20827944633572,22.412861989037523
2019-08-08,19.576473409185216,20.65778607903188,24.184533808420024
2019-08-09,19.003281252357443,20.058127170711003,23.45159560368918
2019-08-12,18.30742662734047,19.323646615718093,22.54391716471787
2019-08-13,19.623006397864984,20.7474391354236,24.30345424561145
2019-08-14,17.653234427557873,18.710924869306897,21.786709483009187
2019-08-15,17.70627368973381,18.769840421846435,21.859517913942714
2019-08-16,18.52471275373151,19.677139930955324,22.980767750319036
2019-08-19,19.36981493177641,20.574816134328298,24.104444534393142
2019-08-20,18.92238536654547,20.11337566693571,23.52683098232049
2019-08-21,19.53129232914264,20.751249254213697,24.32529677489151
2019-08-22,19.23644233043167,20.448792477267297,23.946692934037166
2019-08-23,17.689170052208265,18.84538379435272,21.939607187969592
2019-08-26,18.297312616465675,19.493276261398226,22.774477196007375
2019-08-27,18.096633968771744,19.284217936275983,22.505086001553323
2019-08-28,18.35865260214988,19.559195553103436,22.859420365429823
2019-08-29,19.17581406448856,20.408612711933447,23.953973777130518
2019-08-30,19.0173003006645,20.248523003506506,23.747683222818857
2019-09-03,18.47391353850593,19.669956162818593,23.06913387610827
2019-09-04,19.239668471198183,20.501275753022043,24.044114336740208
2019-09-05,20.231827736829555,21.54980473734041,25.273840285898302
2019-09-06,20.249212351077354,21.56757641504072,25.294683098595897
2019-09-09,20.040477509623088,21.345251488742694,25.04456934622476
2019-09-10,19.919555176215727,21.21556194840218,24.898669657341596
2019-09-11,20.491143179832665,21.831072623986522,25.591114212517247
2019-09-12,20.738525085200905,22.092510268799938,25.885229458361085
2019-09-13,20.45970757316734,21.800194162000682,25.556376191354587
2019-09-16,20.230100152393142,21.555543238422562,25.283103758208345
2019-09-17,20.50046997559702,21.84580704605762,25.60732528905982
2019-09-18,20.5276675161547,21.874833426821123,25.639747442144966
2019-09-19,20.5276675161547,21.874833426821123,25.639747442144966
2019-09-20,19.84712789466056,21.149173907733477,24.82919361501628
2019-09-23,19.999203454800988,21.311226194875296,25.01446306121712
2019-09-24,19.118402920504135,20.377399890220566,23.946847877484764
2019-09-25,19.748659569575405,21.066122110573293,24.734243023838346
2019-09-26,19.498652562460805,20.79873583678929,24.428548437606956
2019-09-27,18.852641151357414,20.101911002079472,23.631889818943332
2019-09-30,19.36121264289379,20.644182972302747,24.273385276413748
2019-10-01,18.800595842861476,20.056884809606057,23.570533247948
2019-10-02,17.706714121252585,18.888161465839644,22.17185771130116
2019-10-03,18.496872939252494,19.767151049342356,23.223792913904898
2019-10-04,19.284834654527174,20.618733385252558,24.242928355180233
