rule,date,equity,pre_rebalance_leverage,post_rebalance_leverage,contracts_fractional,rebalanced
Monthly,2013-03-07,1.770601154490055,2.874196981773835,2.874196981773835,0.0009090035713424281,False
Monthly,2013-03-08,1.7744209044482802,2.8703150405090807,2.8703150405090807,0.0009090035713424281,False
Monthly,2013-03-11,1.7896925360376985,2.8542028679786458,2.8542028679786458,0.0009090035713424281,False
Monthly,2013-03-12,1.7757865079717428,2.8645245148541085,2.8645245148541085,0.0009090035713424281,False
Monthly,2013-03-13,1.767875219589022,2.8727157306219664,2.8727157306219664,0.0009090035713424281,False
Monthly,2013-03-14,1.7796922660164736,2.8602810141506105,2.8602810141506105,0.0009090035713424281,False
Monthly,2013-03-15,1.7624211981609674,2.8785110715621025,2.8785110715621025,0.0009090035713424281,False
Monthly,2013-03-18,1.755790249976201,2.8857580834221928,2.8857580834221928,0.0009090035713424281,False
Monthly,2013-03-19,1.7421551964060646,2.9005170512459677,2.9005170512459677,0.0009090035713424281,False
Monthly,2013-03-20,1.7526087374765025,2.889181302070785,2.889181302070785,0.0009090035713424281,False
Monthly,2013-03-21,1.7244296267648873,2.920052639607033,2.920052639607033,0.0009090035713424281,False
Monthly,2013-03-22,1.7678770404408408,2.8727127718247516,2.8727127718247516,0.0009090035713424281,False
Monthly,2013-03-25,1.7507933136884963,2.891138746901173,2.891138746901173,0.0009090035713424281,False
Monthly,2013-03-26,1.7792439028018925,2.8607463483316833,2.8607463483316833,0.0009090035713424281,False
Monthly,2013-03-27,1.7812446043612709,2.8588089441462685,2.8588089441462685,0.0009090035713424281,False
Monthly,2013-03-28,1.799699275286351,2.83959556369439,3.0000000000000004,0.0009603518011133144,True
Monthly,2013-04-01,1.755255250887459,3.0507936895789864,3.0507936895789864,0.0009603518011133144,False
Monthly,2013-04-02,1.8030677785096096,2.996259553608432,2.996259553608432,0.0009603518011133144,False
Monthly,2013-04-03,1.7533421111383807,3.0530270763474148,3.0530270763474148,0.0009603518011133144,False
Monthly,2013-04-04,1.7495007039339274,3.057534941353862,3.057534941353862,0.0009603518011133144,False
Monthly,2013-04-05,1.70750575722535,3.107986037819134,3.107986037819134,0.0009603518011133144,False
